[SliceTest] Result:
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 390, validMask: 11011000, nonLeafMask: 11011000]
[ChildDescriptor childPointer: 398, validMask: 11101110, nonLeafMask: 11101110]
[ChildDescriptor childPointer: 0, validMask: 10011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 422, validMask: 11101110, nonLeafMask: 11101110]
[ChildDescriptor childPointer: 434, validMask: 11011000, nonLeafMask: 11011000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 450, validMask: 10111110, nonLeafMask: 10111110]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 462, validMask: 01110100, nonLeafMask: 01110100]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 478, validMask: 10111110, nonLeafMask: 10111110]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 502, validMask: 11101110, nonLeafMask: 11101110]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 514, validMask: 01011100, nonLeafMask: 01011100]
